P_ID,Property_name,Price,BHK,Transaction_type,Floor,Facing_Direction,Furnishing,Ownership,Society_name,Bathrooms,Car_Parking,Status,Agent_name,Buyers_from_agents,Owner_name,Address,Product_link,Area_in_sqr_feet,Price_per_sqr_feet,Reviews
P_127,Bundela Group,2.99 Cr,4,New Property,6,East,Furnished,Freehold,Guru Apartment,3,,Ready to Move,,1500,,"Guru Apartment, Dwarka Sector 6",https://www.magicbricks.com/guru-apartment-dwarka-sector-6-new-delhi-pdpid-4d4235303130383231,2500,"10,679 per sqft","4 BHK, Multistorey Apartment is available for Sale in Dwarka Sector 6, New Delhi for 2.9 Crore(s)"
P_128,Sharma Estates,16 Cr,3,New Property,3,North - East,Semi-Furnished,Freehold,Godrej Connaught One,4,2,Under Construction,,5500,,"Godrej Connaught One, Connaught Place",https://www.magicbricks.com/godrej-connaught-one-connaught-place-new-delhi-pdpid-4d4235333332333433,2562,"62,451 per sqft","Super Luxury Apartments in Signature Residences at the Heart of Central Delhi situated at Shaheed Bhagat Singh Marg, Connaught Place, New Delhi. Godrej Connaught One offers you ultra luxury 3  4 BHK apartments in Connaught Place, Delhi. This project is nothing but the most breathtaking place to live in.The location also offers strategic proximity to hospitals, educational institutions, hotels and recreation centers. Connaught Place has a great infrastructure and has well linked roads, connecting its occupants to different parts of the city."
P_129,Parmar Properties 1,1.10 Cr,2,Resale,3,North - East,Unfurnished,Freehold,DDA Dwarkadheesh Apartment,2,2,Ready to Move,,1000,,"DDA Dwarkadheesh Apartment, Dwarka Sector 12",https://www.magicbricks.com/dda-dwarkadheesh-apartment-dwarka-sector-12-new-delhi-pdpid-4d4235303130383833,1100,"10,000 per sqft","A very prime located DDA built up  freehold 2BHK top floor for sale, for more details please contact. Thanks"
P_130,Parmar Properties 2,3.50 Cr,4,New Property,4,West,Semi-Furnished,Freehold,,3,,Ready to Move, Harsh Properties,,,Preet Vihar,,2000,"17,073 per sqft","Park facing top floor with terrace garden with roof rights at reasonable price. Luxury construction with modular kitchen and wardrobes,"
P_131,Milan Properties and Builders,22 Lac,1,Resale,1,,Semi-Furnished,Freehold,,1,,Ready to Move,,,,Rohini Sector 24,,425,"4,889 per sqft","This affordable floor is only 5 min away from metro station. School, park, market, bank, hospital shopping complexes are in close proximity."
P_132,Vaastu Villas Pvt. Ltd.,4 Cr,4,New Property,1,East,Furnished,Freehold,Vivek Apartment,4,2,Under Construction,,100,,"Vivek Apartment, Vikaspuri",https://www.magicbricks.com/vivek-apartment-vikaspuri-new-delhi-pdpid-4d4235303835323835,2100,"17,391 per sqft",Fantastic construction with stupendous interiors latest fully accessorized kitchen well appointed bathrooms glass partitions and designers counters all fittings from grohe or kohler a mix of burberry italian and turkish flooring designer false ceilings with concept lighting company fitted wardrobes and vanities neo classic elevation well connected to main market  very well connected to metro station walking distance from major parks well connected to at least 4 major banks crystal clear title with all documents in order bank loan available from major banks accept maximum cheque.
P_133,Janta Homes 1,23 Lac,2,New Property,Ground,East,Semi-Furnished,Freehold,,2,1,Ready to Move,,2500,,Uttam Nagar West,,590,"3,538 per sqft","2 bhk builder floor apartment free hold property with registry 80 loan facility with lift with car parking 2 bhk semiFurnished floor available . Fall ceiling in all rooms wall texture, wardrobs , wall equipment. It features the best design standards which give you the experience of luxury, . Quality and workmanship. It promises complete privacy and is designed to give you the freedom to grow, flourish and enjoy a lifestyle in an environment which spells class in every square."
P_134,Janta Homes 2,1.55 Cr,2,Resale,1,North - East,Unfurnished,Freehold,DDA Flats Munirka,2,1,Ready to Move, Munirka Properties Pvt Ltd,,,"DDA Flats Munirka, Munirka",https://www.magicbricks.com/dda-flats-munirka-munirka-new-delhi-pdpid-4d4235303336333534,1000,"12,917 per sqft","2 bhk resale apartment located in DDA FLATS MUNIRKA, Delhi South. It is a freehold property.  it has 2 bedroom , 1 drawing room ,1 dinning , 2 bathrooms and 1 balconys. This is a feng shuivaastu compliant property .which offers a wonderful view of parkgarden and main road. The unit is located in a gated society. The property offers specifications such as pipedgas, internetwifi connectivity, park, water storage, fitness centregym and shopping centre. Contact            Munirka properties"
P_135,Janta Homes 3,1.75 Cr,3,Resale,3,North - East,Semi-Furnished,Freehold,,2,1,Ready to Move, Unique Properties,, Unique Properties,Rohini Sector 9,,950,"18,421 per sqft","Vishwa apartments is one of delhi norths most sought after destination for residential apartments and this 3 bhk flat in sector9 rohini is your opportunity to be a part of this community. The flat occupies abuilt up area of 85 sq.M. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The flat building has a total of 3 floors and this property is situated on 3rd floor. This 10 years old property is available for immediate possession as the project is ready to move. The society is well equipped with many modern amenities, including lifts."
P_136,Janta Homes 4,7 Cr,4,New Property,,North - East,Semi-Furnished,,,4,3,Ready to Move, Gold Leaf,,,Saket,,2700,"23,333 per sqft",This is 3 side corner location
P_137,Janta Homes 5,4 Cr,3,New Property,Ground,North - East,Unfurnished,Freehold,,4,2,Ready to Move, Bholanath Andco.,,,Greater Kailash 1,,208,"21,368 per sqft","Park Facing Brand New Builder floor apartment with 5 star construction on ground  floor with Big Balcony on very wide road Having 3 spacious bedrooms with attached bath rooms , 1 Separate drawing dining room ,  , Servant quarter , Siemens Fully equipped modular kitchen  , Separate 2 reserved car parking in the still , Italian marble flooring , , This builder floor apartment is made by top reputed builder of South Delhi.For more detail please call"
P_138,Janta Homes 6,2.35 Cr,4,Resale,3,North - East,Semi-Furnished,Freehold,Diamond Square,4,1,Ready to Move, Chhillar Homes,,,"Diamond Square, Dwarka Sector 6",https://www.magicbricks.com/diamond-square-dwarka-sector-6-new-delhi-pdpid-4d4235303131333839,1900,"10,682 per sqft","Property Description This is one of the premium apartments available for sale in dwarka with all modern amenities. Located at a very prime location well connected to NH8 and IGI Airport. Well Maintained society and local market, metro Station, School, Park, Bank, ATM etc located very near by this property. One of the best option for investment of Self use Purpose."
P_139,Property Experts,2.10 Cr,3,Resale,7,West,Semi-Furnished,Freehold,Engineers Apartment,3,1,Ready to Move,,3500,,"Engineers Apartment, Dwarka Sector 18",https://www.magicbricks.com/engineers-apartment-dwarka-new-delhi-pdpid-4d4235303333333139,1900,"10,000 per sqft","3 BHK, Multistorey Apartment is available for Sale in Dwarka Sector 18, New Delhi for 2.1 Crore(s)"
P_140,Kapoor Properties,5.20 Cr,3,New Property,15,East,Furnished,Freehold,,3,,Under Construction,,,,Chhattarpur,,3300,"15,758 per sqft",New property located in Best location of south Delhi and very near to international airport stilt car parking option available in this building much more similar options available nego price genuine clients contact us Dealers please excuse
P_141,Vishal Rajput,60 Lac,3,New Property,3,North,Semi-Furnished,Freehold,,2,,Ready to Move,,100,,Mahavir Enclave Part 3,,900,,"3 BHK, Builder Floor Apartment is available for Sale in Mahavir Enclave Part 3, New Delhi for 60.0 Lac(s)"
P_142,Link Properties Pvt. Ltd.,3.90 Cr,4,Resale,9,North - East,Semi-Furnished,Freehold,Majestic Apartments,4,1,Ready to Move,,16500,,"Majestic Apartments, Dwarka Sector 18",https://www.magicbricks.com/majestic-apartments-dwarka-sector-18-new-delhi-pdpid-4d4235303131313636,3000,"10,263 per sqft","A 4BHK with servant room resale flat, located in Sec.18A Dwarka, It is a ready to move in semi furnished flat located in Majestic Apt. It is a 10 to15 year old property, which is in its prime condition. The flat is on the 9th floor of the building. Aesthetically designed with marble flooring, this property has 4 bathroom. The property also has 3 balcony. The flat faces the north east direction . The flat is a freehold property and has a super built up area of 3800 Sq. Ft. It offers a number of important facilities like intercom facility, lift, piped gas fire alarm and water storage."
P_143,Link Properties Pvt. Ltd.,2.10 Cr,3,Resale,2,East,Semi-Furnished,Freehold,,3,1,Ready to Move, S S Properties,,,Paschim Vihar Block A2,,1250,"15,556 per sqft","Very well maintained 3bhk Top floor with roof right, Lift with stilt parking, East facing, Park facing, near by to metro station, jwala heri market, mall etc"
P_144,Link Properties Pvt. Ltd.,2 Cr,3,New Property,1,North,Semi-Furnished,Freehold,,2,1,Ready to Move, Kohli Associates,,,"Ashoka Niketan, Anand Vihar",,140,"15,873 per sqft","3bhk builder floor is available in ashoka niketan 140 sqyrd with spacious room modular kitchen fall ceiling fan lights,exhaust fan wardrobe gyser 1 car parking and 1 scooty parking  lift is also available BFLR3616"
P_145,Link Properties Pvt. Ltd.,2.85 Cr,3,New Property,3,East,Semi-Furnished,Freehold,,3,1,Ready to Move, Smart Homz,,,Chittaranjan Park,,1200,"19,792 per sqft","3 BHK , brand new , ready to move, Park Facing , builder floor available for Sale in C.R Park , Its located on the Third Floor with Terrace and lift available, Spacious 3 bedrooms with attached bath , modular kitchen, Italian marble flooring , Good Ventilated bedrooms with attached bathrooms, Drawing, Dining, Servant quarter, Security, Rich Specification , Natural light everywhere, , Stilt 1 car parking , all modern amenities, Freehold Property , Excellent Location, One of the best options for sale, Please call back for viewing the property.."
P_146,N S Estate Developers,49.5 Lac,3,New Property,1,East,Semi-Furnished,Freehold,,2,1,Ready to Move,,500,,Chattarpur Extension,,1100,"4,125 per sqft",independent floor
P_147,Ashiyana Associates,2 Cr,3,New Property,1,South - East,Semi-Furnished,Freehold,,3,1,Ready to Move,,3000,,Ashok Vihar Phase 1,,1080,"17,778 per sqft",It is a 3 side corner park facing sun facing 3bhk brand new builder floor in ashok vihar. This Property is very near to all major amenities.
P_148,Sushil  Mishra,20.9 Lac,2,New Property,1,North - East,Unfurnished,Freehold,Rama Park Apartment,2,,Ready to Move,,500,,"Rama Park Apartment, Dwarka Mor",https://www.magicbricks.com/rama-park-apartment-dwarka-mor-new-delhi-pdpid-4d4235313730323033,500,"3,800 per sqft",2bhk sabse saste price me dwarka moR
P_149,Singh Associates,3 Cr,3,New Property,1,South,Unfurnished,Freehold,,3,2,Ready to Move, Pradeep Properties,,,"Kiran Vihar, Anand Vihar",,200,"16,667 per sqft",The property is located near the Rishab Vihar Jain temple.
P_150,Singh Associates,29 Lac,2,New Property,,,Semi-Furnished,,SB Residency,,1,Ready to Move, S.B. Associates,,,"SB Residency, Dwarka Mor",https://www.magicbricks.com/sb-residency-dwarka-mor-new-delhi-pdpid-4d4235313134353633,700,"4,143 per sqft","SB Residency Project is one of the popular residential projects that is located in Dwarka Mor, New Delhi. This project offers 1, 2, 3 & 4 BHK Luxurious builder floor with modern amenities for the comfort of residents. SB Residency is an outstanding residential colony developed. With close proximity to Gurgaon & Dwarka City. SB Residency offers living within the reach of all Good Schools, Prominent Hospitals, Metro Station, Premium Shopping, Dining, Recreation and Entertainment Hub of west Delhi. About Locality: Dwarka Mor is a promising locality of Delhi, which enjoys proximity to the corporate hubs of Gurgaon and Delhi which are 24 kms away, respectively. The locality has witnessed a number of new apartment projects lately. It has a smooth connectivity to the rest of the national capital region (NCR) via metro network."
P_151,Singh Associates,1.80 Cr,3,Resale,Ground,North,Unfurnished,,,2,,Ready to Move, Sai Real Estate Service,,,dda flats sarita vihar,,1400,"12,414 per sqft","3 BHK, Multistorey Apartment is available for Sale in , New Delhi for 1.8 Crore(s)"
P_152,Singh Associates,18 Cr,4,New Property,Ground,North - East,Unfurnished,Freehold,,5,4,Ready to Move,,500,,Vasant Vihar,,600,"44,444 per sqft","Fresh Construction , Builder floor available on sale in Vasant Vihar Its located On The Basement with Ground floor, Plot area 600yd, 4 spacious bedrooms with attached bathrooms , Drawing , Dining attached bath , A specifications , Italian modular branded kitchen With hob, Chimney, Microwave  oven , Italian marble and wooden laminated flooring , Servant quarter , Reputed builder of South Delhi , This property has been structured for ample natural light and cross ventilation , 100 legal construction , Vaastu compliant , Shower cubicles , Separate underground  overhead water tanks."
P_153,Mangalam Infratech,14.75 Cr,4,Resale,1,North,Semi-Furnished,Freehold,,5,3,Ready to Move, South Delhi Luxury Homes,,,Panchsheel Park,,7200,"20,486 per sqft","Top of the line specifaction.Rare option Super luxury duplex apartment for sale Panchsheel Park  Area 800 Syd Floor 4 years old First floor Room 4bedroom bathroom Facing North facing Property Freehold, wide roadIn apartment amenities  Large drawing   dining area, living area Independent separate driveway for 3 cars separate gate All room split air conditioner Fully loaded modular kitchen washing area All room Italian  wooden flooring Exclusive lift staircase Powder room servant quatre storeroom temple  Large front balcony Many more option available."
P_154,Mangalam Infratech,1.88 Cr,3,Resale,4,North,Semi-Furnished,Freehold,Kesarwani Apartment,3,1,Ready to Move,,1000,,"Kesarwani Apartment, Dwarka Sector 5",https://www.magicbricks.com/kesarwani-apartment-dwarka-sector-5-new-delhi-pdpid-4d4235303131303135,2000,"8,952 per sqft","Its a 3 bedroom 3 bathroom plus store and 4 balcony in this flat its a semi furnished flat, main road park facing , vastu perfect. In just 1. 88cr  feel free to connect"
P_155,Milan Properties and Builders,4 Cr,3,New Property,1,North - East,Unfurnished,,,3,2,Ready to Move, Prime Associates,,,Lajpat Nagar 3,,1400,"22,222 per sqft","We are offering a CORNER BRAND NEW Luxury builder floor, FF which consists of 3 Bedrooms with attached bathrooms a fully equipped modular kitchen. Lift, Covered Parkings. Best Location. The builder has used all latest and branded fittings. The planning is perfect with ample of natural light, ventilation and the finishing is beautiful. This is the best value for money deal in this locality. Must have a look. WE ASSURE YOU THAT WE WILL GET YOU THE BEST HOUSE IN SOUTH DELHI AS PER YOUR REQUIREMENTS WITH SMOOTH AND PROFESSIONAL DEALING. REGARDS, PRIME ASSOCIATES"
P_156,Milan Properties and Builders,4.75 Cr,4,New Property,3,North - East,Unfurnished,Freehold,,4,,Ready to Move, EXP Global India,,,J Block-Saket,,1800,,"THIRD FLOOR WITH TERRACE  300 YARDS 4BHK SAKET PROPERTY FOR SALE.J45, SAKET, NEW DELHITHIRD FLOOR WITH ENTIRE TERRACE300 SQ.YARDS4 BHKNORTH EAST FACINGDIAGONALLY PARK FACINGSERVANT ROOM2 CAR PARKING AT STILT LEVELWITH LIFT10 YEARS OLDNear Park"
P_157,Milan Properties and Builders,1.80 Cr,3,New Property,2,North,Semi-Furnished,Freehold,,2,1,Ready to Move, Shri Sai Kamal Properties,,,Preet Vihar,,1125,"16,000 per sqft",3bhk new constuction north facing 2nd floor in posh area preet vihar for  sale ready to move
P_158,Milan Properties and Builders,22 Lac,1,Resale,1,,Semi-Furnished,Freehold,,1,,Ready to Move,,,,Rohini Sector 24,,425,"4,889 per sqft","This affordable floor is only 5 min away from metro station. School, park, market, bank, hospital shopping complexes are in close proximity."
P_159,Vaastu Villas Pvt. Ltd.,4 Cr,4,New Property,1,East,Furnished,Freehold,Vivek Apartment,4,2,Under Construction,,100,,"Vivek Apartment, Vikaspuri",https://www.magicbricks.com/vivek-apartment-vikaspuri-new-delhi-pdpid-4d4235303835323835,2100,"17,391 per sqft",Fantastic construction with stupendous interiors latest fully accessorized kitchen well appointed bathrooms glass partitions and designers counters all fittings from grohe or kohler a mix of burberry italian and turkish flooring designer false ceilings with concept lighting company fitted wardrobes and vanities neo classic elevation well connected to main market  very well connected to metro station walking distance from major parks well connected to at least 4 major banks crystal clear title with all documents in order bank loan available from major banks accept maximum cheque.
P_160,Janta Homes,23 Lac,2,New Property,Ground,East,Semi-Furnished,Freehold,,2,1,Ready to Move,,2500,,Uttam Nagar West,,590,"3,538 per sqft","2 bhk builder floor apartment free hold property with registry 80 loan facility with lift with car parking 2 bhk semiFurnished floor available . Fall ceiling in all rooms wall texture, wardrobs , wall equipment. It features the best design standards which give you the experience of luxury, . Quality and workmanship. It promises complete privacy and is designed to give you the freedom to grow, flourish and enjoy a lifestyle in an environment which spells class in every square."
P_161,N S Estate Developers,1.55 Cr,2,Resale,1,North - East,Unfurnished,Freehold,DDA Flats Munirka,2,1,Ready to Move, Munirka Properties Pvt Ltd,,,"DDA Flats Munirka, Munirka",https://www.magicbricks.com/dda-flats-munirka-munirka-new-delhi-pdpid-4d4235303336333534,1000,"12,917 per sqft","2 bhk resale apartment located in DDA FLATS MUNIRKA, Delhi South. It is a freehold property.  it has 2 bedroom , 1 drawing room ,1 dinning , 2 bathrooms and 1 balconys. This is a feng shuivaastu compliant property .which offers a wonderful view of parkgarden and main road. The unit is located in a gated society. The property offers specifications such as pipedgas, internetwifi connectivity, park, water storage, fitness centregym and shopping centre. Contact            Munirka properties"
P_162,N S Estate Developers,1.75 Cr,3,Resale,3,North - East,Semi-Furnished,Freehold,,2,1,Ready to Move, Unique Properties,, Unique Properties,Rohini Sector 9,,950,"18,421 per sqft","Vishwa apartments is one of delhi norths most sought after destination for residential apartments and this 3 bhk flat in sector9 rohini is your opportunity to be a part of this community. The flat occupies abuilt up area of 85 sq.M. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The flat building has a total of 3 floors and this property is situated on 3rd floor. This 10 years old property is available for immediate possession as the project is ready to move. The society is well equipped with many modern amenities, including lifts."
P_163,N S Estate Developers,7 Cr,4,New Property,,North - East,Semi-Furnished,,,4,3,Ready to Move, Gold Leaf,,,Saket,,2700,"23,333 per sqft",This is 3 side corner location
P_164,N S Estate Developers,4 Cr,3,New Property,Ground,North - East,Unfurnished,Freehold,,4,2,Ready to Move, Bholanath Andco.,,,Greater Kailash 1,,208,"21,368 per sqft","Park Facing Brand New Builder floor apartment with 5 star construction on ground  floor with Big Balcony on very wide road Having 3 spacious bedrooms with attached bath rooms , 1 Separate drawing dining room ,  , Servant quarter , Siemens Fully equipped modular kitchen  , Separate 2 reserved car parking in the still , Italian marble flooring , , This builder floor apartment is made by top reputed builder of South Delhi.For more detail please call"
P_165,N S Estate Developers,2.10 Cr,3,Resale,2,East,Semi-Furnished,Freehold,,3,1,Ready to Move, S S Properties,,,Paschim Vihar Block A2,,1250,"15,556 per sqft","Very well maintained 3bhk Top floor with roof right, Lift with stilt parking, East facing, Park facing, near by to metro station, jwala heri market, mall etc"
P_166,N S Estate Developers,2 Cr,3,New Property,1,North,Semi-Furnished,Freehold,,2,1,Ready to Move, Kohli Associates,,,"Ashoka Niketan, Anand Vihar",,140,"15,873 per sqft","3bhk builder floor is available in ashoka niketan 140 sqyrd with spacious room modular kitchen fall ceiling fan lights,exhaust fan wardrobe gyser 1 car parking and 1 scooty parking  lift is also available BFLR3616"
P_167,N S Estate Developers,2.85 Cr,3,New Property,3,East,Semi-Furnished,Freehold,,3,1,Ready to Move, Smart Homz,,,Chittaranjan Park,,1200,"19,792 per sqft","3 BHK , brand new , ready to move, Park Facing , builder floor available for Sale in C.R Park , Its located on the Third Floor with Terrace and lift available, Spacious 3 bedrooms with attached bath , modular kitchen, Italian marble flooring , Good Ventilated bedrooms with attached bathrooms, Drawing, Dining, Servant quarter, Security, Rich Specification , Natural light everywhere, , Stilt 1 car parking , all modern amenities, Freehold Property , Excellent Location, One of the best options for sale, Please call back for viewing the property.."
P_168,N S Estate Developers,49.5 Lac,3,New Property,1,East,Semi-Furnished,Freehold,,2,1,Ready to Move,,500,,Chattarpur Extension,,1100,"4,125 per sqft",independent floor
P_169,Sushil  Mishra,20.9 Lac,2,New Property,1,North - East,Unfurnished,Freehold,Rama Park Apartment,2,,Ready to Move,,500,,"Rama Park Apartment, Dwarka Mor",https://www.magicbricks.com/rama-park-apartment-dwarka-mor-new-delhi-pdpid-4d4235313730323033,500,"3,800 per sqft",2bhk sabse saste price me dwarka moR
P_170,Sushil  Mishra,3 Cr,3,New Property,1,South,Unfurnished,Freehold,,3,2,Ready to Move, Pradeep Properties,,,"Kiran Vihar, Anand Vihar",,200,"16,667 per sqft",The property is located near the Rishab Vihar Jain temple.
P_171,Sushil  Mishra,29 Lac,2,New Property,,,Semi-Furnished,,SB Residency,,1,Ready to Move, S.B. Associates,,,"SB Residency, Dwarka Mor",https://www.magicbricks.com/sb-residency-dwarka-mor-new-delhi-pdpid-4d4235313134353633,700,"4,143 per sqft","SB Residency Project is one of the popular residential projects that is located in Dwarka Mor, New Delhi. This project offers 1, 2, 3 & 4 BHK Luxurious builder floor with modern amenities for the comfort of residents. SB Residency is an outstanding residential colony developed. With close proximity to Gurgaon & Dwarka City. SB Residency offers living within the reach of all Good Schools, Prominent Hospitals, Metro Station, Premium Shopping, Dining, Recreation and Entertainment Hub of west Delhi. About Locality: Dwarka Mor is a promising locality of Delhi, which enjoys proximity to the corporate hubs of Gurgaon and Delhi which are 24 kms away, respectively. The locality has witnessed a number of new apartment projects lately. It has a smooth connectivity to the rest of the national capital region (NCR) via metro network."
P_172,Mangalam Infratech,1.88 Cr,3,Resale,4,North,Semi-Furnished,Freehold,Kesarwani Apartment,3,1,Ready to Move,,1000,,"Kesarwani Apartment, Dwarka Sector 5",https://www.magicbricks.com/kesarwani-apartment-dwarka-sector-5-new-delhi-pdpid-4d4235303131303135,2000,"8,952 per sqft","Its a 3 bedroom 3 bathroom plus store and 4 balcony in this flat its a semi furnished flat, main road park facing , vastu perfect. In just 1. 88cr  feel free to connect"
P_173,Mangalam Infratech,4 Cr,3,New Property,1,North - East,Unfurnished,,,3,2,Ready to Move, Prime Associates,,,Lajpat Nagar 3,,1400,"22,222 per sqft","We are offering a CORNER BRAND NEW Luxury builder floor, FF which consists of 3 Bedrooms with attached bathrooms a fully equipped modular kitchen. Lift, Covered Parkings. Best Location. The builder has used all latest and branded fittings. The planning is perfect with ample of natural light, ventilation and the finishing is beautiful. This is the best value for money deal in this locality. Must have a look. WE ASSURE YOU THAT WE WILL GET YOU THE BEST HOUSE IN SOUTH DELHI AS PER YOUR REQUIREMENTS WITH SMOOTH AND PROFESSIONAL DEALING. REGARDS, PRIME ASSOCIATES"
P_174,Mangalam Infratech,4.75 Cr,4,New Property,3,North - East,Unfurnished,Freehold,,4,,Ready to Move, EXP Global India,,,J Block-Saket,,1800,,"THIRD FLOOR WITH TERRACE  300 YARDS 4BHK SAKET PROPERTY FOR SALE.J45, SAKET, NEW DELHITHIRD FLOOR WITH ENTIRE TERRACE300 SQ.YARDS4 BHKNORTH EAST FACINGDIAGONALLY PARK FACINGSERVANT ROOM2 CAR PARKING AT STILT LEVELWITH LIFT10 YEARS OLDNear Park"
P_175,Mangalam Infratech,1.80 Cr,3,New Property,2,North,Semi-Furnished,Freehold,,2,1,Ready to Move, Shri Sai Kamal Properties,,,Preet Vihar,,1125,"16,000 per sqft",3bhk new constuction north facing 2nd floor in posh area preet vihar for  sale ready to move
P_176,Mangalam Infratech,4.15 Cr,3,Resale,Ground,North - East,Unfurnished,Freehold,,3,1,Ready to Move, Fixitezy Realty,,,Greater Kailash 1,,1800,"18,864 per sqft","A magnificent 3BHK Duplex of Basement and Ground Floor Flat is available for sale in Greater Kailash I. It has 3 specious bedroom with attached 3 bathroom, kitchen, drawing dining room, servant quarter, etc. All the room are well ventilated and blessed with natural light. For more details contact Suresh Mehta."
P_177,Bhagirathi Real Estate,6 Cr,4,New Property,3,North - East,Semi-Furnished,Freehold,,4,2,Under Construction,,1500,,Saket,,2200,"27,273 per sqft","Brand new construction available on booking for sale in saket. its park facing. third floor with terrace 4 bedroom with 4 attached bathroom. drawing, dining, kitchen, living, family lounge. big balcony, good cross ventilation, separate 2 car parking, lift, Separate servant quarter is provided , pooja room, very posh locality in south delhi very close market, malls, school, Banks, ATM, park, metro station, 24 seven and more services."
P_178,Bhagirathi Real Estate,75 Lac,3,New Property,1,North - East,Semi-Furnished,Power Of Attorney,,3,1,Ready to Move, Mahaveer  Singh,,,Chhattarpur,,1350,"5,357 per sqft","Surrounded by a calm neighborhood, this property promises a serene and convenient living experience. Every corner of this flat is being crafted to perfection to offer you a comfortable stay. As per the plan, the rooms are spacious and have been built to ensure proper cross ventilation and ample sunlight during the day, with pure air filling up the place with refreshing vibes. With well Connected metro stations, bus stops, schools, hospitals, gyms, police stations, markets, grocery stores, fire stations, etc., in its close vicinity, this flat is an ideal home for you and your family."
P_179,Bhagirathi Real Estate,90 Lac,3,New Property,4,North - West,Semi-Furnished,Freehold,,2,1,Ready to Move, Realiving Realtors,,,"Pochanpur Colony, Dwarka",,130,"7,692 per sqft",Bank loan available  Nearby Amenities      Bank    Mandhir     School          Departmental Stores   Gopal Sweets shop   Hospital    Bus Stand     RestaurantHotel  BEAUTY PARLOUR  GYM  BOUTIQUE   KFC    CAFE
P_180,Bhagirathi Real Estate,25 Lac,2,New Property,2,North,Semi-Furnished,Freehold,,2,,Ready to Move, Rana Builder,,,Dwarka Mor,,600,"3,846 per sqft",property near to uttam nagar Modular kitchen Texture paints Wall paper Intercoms Facilities Camera Facilities Washroom fully tiles Car parking Lift Facility Fans Chimney Almirah Water and a great place to stay in delhi
P_181,Bhagirathi Real Estate,2.90 Cr,3,New Property,2,East,Semi-Furnished,Freehold,,3,2,Ready to Move, South Delhi Estate,,,South Extension 1,,200,"16,111 per sqft",Brand new builder floor apartment available for sale with lift and stilt car parking. Please call for site visit.
P_182,Bhagirathi Real Estate,3 Cr,4,Resale,2,,Furnished,,,4,,Ready to Move,,, Dr Sandiip S Aroraa,Janakpuri Block A1,,2000,"13,333 per sqft",It is very close to DDA Market and it is corner property with two side facing and  separate parking gate and space with all the amenities nearby
P_183,Bhagirathi Real Estate,5 Cr,5,Resale,1,East,Unfurnished,,,4,5,Ready to Move,,, ATEET BANSAL,"Civil Lines, VISHWA APARTMENTS",,400,"15,483 per sqft","5 BHK, Multistorey Apartment is available for Sale in , New Delhi for 5.0 Crore(s)"
P_184,Bhagirathi Real Estate,92 Lac,2,Resale,3,East,Semi-Furnished,Freehold,,2,,Ready to Move, Ahuja Associates,,,Dwarka,,750,"11,500 per sqft",for sale builder floor sector 19 2 bed room 2 bath room kitchen semi furnish flat good location near metro market and more........
P_185,Bhagirathi Real Estate,3.30 Cr,3,Resale,Ground,South,Semi-Furnished,,,3,1,Ready to Move, Buniyad Retail,,,East Of Kailash,,200,"18,333 per sqft","It is Independent Builder Floor Available For Sale in East of Kailash, South Delhi, Ground Floor, Area 200 Sqyd, 3bhk with Attached Bathroom, Freehold, Modular Kitchen, Gas Pipe Line, Excellent Interior, Back and Front side Balconies. lift, Servant Room, Natural Light, Fully Ventilation, Good Water Storage, 1 car Parking, Visitors Parking Also Available, On Wide Road, Near to Park, 24 Hours Water and Electricity Supply, Clear and Crystal Deal,  Peaceful location, Near to ATM, Market, Hospital. For more details please contact us."
P_186,Apar Estates,3 Cr,3,New Property,3,North - East,Furnished,Freehold,DDA Flats Vasant Kunj,3,,Ready to Move,,500,,"DDA Flats Vasant Kunj, Vasant Kunj",https://www.magicbricks.com/dda-flats-vasant-kunj-vasant-kunj-new-delhi-pdpid-4d4235303333323130,2000,"15,000 per sqft","3 BHK, Multistorey Apartment is available for Sale in Vasant Kunj, New Delhi for 3.0 Crore(s)"
P_187,Risemax Realty Pvt Ltd,2 Cr,3,Resale,1,North,Semi-Furnished,Freehold,,3,1,Ready to Move,,,,Inderpuri,,200,"11,111 per sqft","Available For Sale 3BHK First Floor 200 Sq Yards Good  Excellent Location Contact More Details,"
P_188,Sahyog Properties,2.10 Cr,3,New Property,2,East,Unfurnished,Freehold,,3,1,Ready to Move, Shri Krishna Associates Property Consultants,,,Janakpuri Block B1,,1350,"15,556 per sqft",Available 3bhk builder floor for salen in janakpuri 3 bhk 3 toilet bath attached all wood work flooring marble modular kitchen with flift car parking reserved.
P_189,Sahyog Properties,2.65 Cr,3,Resale,16,North - East,Semi-Furnished,Freehold,DLF Capital Greens 1 and 2,3,1,Ready to Move, Parul Mittal Real Estates,,,"DLF Capital Greens 1 and 2, New Moti Nagar, Kirti Nagar",https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1237,"16,061 per sqft","3 bhk with 3 toilet dlf apartment is available for sale semifurnished internal park facing specifications wood work done in bedrooms kitchen all bathrooms have geysers fitted this apartment is park facing unit overlooking internal gardens amenities . We have many more options as per your requirement in netaji subhash place,pitampura,rohini,for more details feel free to call or visit parul mittal  future estates c001dlf capital greens moti nagar 110015."
